model,score
LinearRegression,0.00102064859824754
Ridge,0.00028146306583661006
Lasso,0.00012753021298377555
SVR,0.00015938713853748632
KNeighbors,0.00015202286423131848
DecisionTree,0.00033281327356311384
RandomForest,0.0001275559424971383
RandomForest2,0.00012781432245173016
GradientBoosting,0.00014061557684278737
MLPRegressor,0.0007127004364121993
